"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @no_silenced: San Francisco Delivers Weed, Opioids, Booze and Ciggies to Homeless Locked Up for COVID-19

Mr President, can you please n…",FALSE,0,NA,2020-05-07 23:59:48,FALSE,NA,"1258547112297431042",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","jabelliott",524,TRUE,FALSE,NA,NA
"2","RT @grey_sister: @kyledcheney @juliabhaber &amp; what a co-inkydink that @TheJusticeDept #AGBarr let Flynn walk free today, also good distracti…",FALSE,0,NA,2020-05-07 23:59:39,FALSE,NA,"1258547070933233668",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","juliabhaber",3,TRUE,FALSE,NA,NA
"3","RT @CaslerNoel: While Trump was berating a nurse in the Oval Office yesterday who was telling the truth about the lack on PPE she experienc…",FALSE,0,NA,2020-05-07 23:59:31,FALSE,NA,"1258547040486744066",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","HollyL85225600",1306,TRUE,FALSE,NA,NA
"4","RT @PARISDENNARD: Brittany from @SamaritansPurse gave a powerful testimony about her work in New York during #Covid_19 with other front lin…",FALSE,0,NA,2020-05-07 23:59:22,FALSE,NA,"1258547001974636545",NA,"<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for i<U+039F>S</a>","michaeljashmore",15,TRUE,FALSE,NA,NA
"5","RT @the_resistor: @JoeBiden ""A Grave Hardship"" ~ The INABILITY &amp; UNWILLINGNESS of @realDonaldTrump to LEAD 

33.5 MILLION Unemployed
76,681…",FALSE,0,NA,2020-05-07 23:59:21,FALSE,NA,"1258546998006779904",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","dmgraden",25,TRUE,FALSE,NA,NA
"6","RT @Free_Media_Hub: @realDonaldTrump COVID-19 US update infections 1,291,804 recorded deaths 76,889 deaths per million population 232 new d…",FALSE,0,NA,2020-05-07 23:59:14,FALSE,NA,"1258546969753968640",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Roberttimestwo",6,TRUE,FALSE,NA,NA
"7","RT @2020Commander: Must see! Maybe bitchute will keep it up for all to see! Big pharma and money grabbing liars! That's why we are locked d…",FALSE,0,NA,2020-05-07 23:59:12,FALSE,NA,"1258546961616998401",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","ChiMom19638497",68,TRUE,FALSE,NA,NA
"8","RT @lynnsweet: Why a @realDonaldTrump 2016 #Illinois delegate will not support him in 2020: #COVID19 #twill  https://t.co/Exwk9heomK",FALSE,0,NA,2020-05-07 23:58:56,FALSE,NA,"1258546892327120897",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","mmpsunshine",2,TRUE,FALSE,NA,NA
"9","@realDonaldTrump My father,After covid 19 I'm visiting you in USA hope you will accept me",FALSE,0,"realDonaldTrump",2020-05-07 23:58:32,FALSE,"1258546186014748673","1258546792917905409","25073877","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","realkwesianthem",0,FALSE,FALSE,NA,NA
"10","RT @CaslerNoel: While Trump was berating a nurse in the Oval Office yesterday who was telling the truth about the lack on PPE she experienc…",FALSE,0,NA,2020-05-07 23:58:30,FALSE,NA,"1258546781849153537",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","frankie5563",1306,TRUE,FALSE,NA,NA
"11","@realDonaldTrump COVID-19 US update infections 1,291,804 recorded deaths 76,889 deaths per million population 232 n… https://t.co/O1ROSoE8uN",FALSE,25,"realDonaldTrump",2020-05-07 23:58:14,TRUE,"1258546186014748673","1258546714627039232","25073877","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Free_Media_Hub",6,FALSE,FALSE,NA,NA
"12","RT @dcexaminer: ""Impeachment 2.0"" or ""C.O.U.P""

@GOPLeader, @RepAndyBiggsAZ, and @RepLouieGohmert call out the anti-@realdonaldTrump COVID-…",FALSE,0,NA,2020-05-07 23:58:10,FALSE,NA,"1258546698650959873",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","tippi_s",94,TRUE,FALSE,NA,NA
"13","I brought breakfast down to our nurses on the Covid-19 ward and I left in tears.  @realDonaldTrump have a heart! Yo… https://t.co/9LRvqFzNGT",FALSE,0,NA,2020-05-07 23:58:06,TRUE,NA,"1258546681072594944",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","michieboo101",0,FALSE,FALSE,NA,NA
"14","RT @BelkissObadia: One of Trump's personal valets has tested positive for coronavirus. Trump is petrified he could be showing symptoms in t…",FALSE,0,NA,2020-05-07 23:58:00,FALSE,NA,"1258546658733813761",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","tpham26863223",31,TRUE,FALSE,NA,NA
"15","@realDonaldTrump •
Trump’s Response To COVID-19 Is Broken At Every Point
•
As the death toll rises, Trump seeks to… https://t.co/2YeCBU8qnr",FALSE,1,"realDonaldTrump",2020-05-07 23:57:47,TRUE,"1258546186014748673","1258546601074688001","25073877","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Rob_AirOne",0,FALSE,FALSE,NA,NA
"16","@realDonaldTrump &amp; Dr. Anthony Fauci, I think it’s time to tell the people of America about this “Covid-19” Propaga… https://t.co/5j42WDKvYD",FALSE,0,"realDonaldTrump",2020-05-07 23:57:39,TRUE,NA,"1258546568325525504","25073877","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Premadelic",0,FALSE,FALSE,NA,NA
"17","RT @dvillella: @realDonaldTrump Is that why governors are having to use the National Guard to stop you from stealing the supplies they boug…",FALSE,0,NA,2020-05-07 23:57:37,FALSE,NA,"1258546561161674752",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","bubba_wubba",341,TRUE,FALSE,NA,NA
"18","Proof @realDonaldTrump is scum https://t.co/GGMOYPA8vW #trumpectomy #byebyerepublicans",FALSE,0,NA,2020-05-07 23:57:25,FALSE,NA,"1258546509928263685",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","IDYLLWILDMOVIE",0,FALSE,FALSE,NA,NA
"19","Have you taken any Hydroxychloroquine or injected any disinfectants since your valet now has COVID-19? @realDonaldTrump",FALSE,2,NA,2020-05-07 23:57:15,FALSE,NA,"1258546466848509952",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Brannona",0,FALSE,FALSE,NA,NA
"20","So, @Daryourphaurll Peace out still it's over https://t.co/gFOClVNv8i

@realDonaldTrump #NYUJournalism<U+200B> <U+200B>#covid_19<U+200B>… https://t.co/xa7umK8Pvv",FALSE,0,NA,2020-05-07 23:57:07,TRUE,NA,"1258546437085773824",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Daryourpaurll",0,FALSE,FALSE,NA,NA
"21","@Gregtechelp @exhaustedtoo @JenniferJJacobs @realDonaldTrump So if it slows down Covid 19 spread...doesn't that mea… https://t.co/XWxpcKYbs1",FALSE,0,"Gregtechelp",2020-05-07 23:56:59,TRUE,"1258376236449005568","1258546401371230208","4717267957","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","TrilLogic",0,FALSE,FALSE,NA,NA
"22","RT @Jali_Cat: <U+0001F6A8> REAL NEWS ALERT<U+0001F6A8>

FDA has approved trials for a lung 'disinfectant.'

<U+0001F481><U+200D><U+2640><U+FE0F>You know...the thing @realDonaldTrump talked abou…",FALSE,0,NA,2020-05-07 23:56:52,FALSE,NA,"1258546374427029506",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","BrianJa55614625",1597,TRUE,FALSE,NA,NA
